year,Customer_ID,Order_Nr,Product_category,Quantity,Value
2024,A89996572,I133144425,Beauty,2,88.00211
2024,A89996572,I133155840,Beauty,3,233.65079
2024,A89996572,I133223693,Beauty,1,71.01459
2024,A89996572,I133249311,Beauty,3,102.43185
2024,A89996605,I133249113,Beauty,4,310.19115
2024,A89996632,I133211016,Beauty,1,72.99325
2024,A89996758,I133157917,Beauty,1,49.24933
2024,A89996790,I133180743,Beauty,1,63.38951
2024,A89996790,I133254960,Beauty,1,76.56449
2024,A89996819,I133255139,Beauty,2,122.84583
2024,A89996901,I133190619,Beauty,1,56.82615
2024,A89996901,I133248561,Beauty,2,153.10485
2024,A89996937,I133134649,Beauty,1,65.70599
2024,A89996937,I133146836,Beauty,2,131.38785
2024,A89996937,I133168510,Beauty,2,108.56087
2024,A89996976,I133087723,Beauty,2,106.75112
2024,A89996990,I133248691,Beauty,3,215.62568
2024,A89997010,I133089229,Beauty,1,88.7984
2024,A89997130,I133251238,Beauty,1,76.56449
2024,A89997131,I133074874,Beauty,4,276.21611
2024,A89997131,I133130450,Beauty,1,181.96433
2024,A89997131,I133180469,Beauty,3,313.35218
2024,A89997131,I133258318,Beauty,1,336.03438
2024,A89997134,I133272457,Beauty,1,69.03593
2024,A89997172,I133256218,Beauty,1,76.56449
2024,A89997208,I133153383,Beauty,4,154.21483
2024,A89997208,I133164431,Beauty,4,196.99732
2024,A89997216,I133081474,Beauty,2,108.41609
2024,A89997216,I133252098,Beauty,2,153.10485
2024,A89997270,I133195585,Beauty,1,63.29299
2024,A89997348,I133226124,Beauty,1,87.03691
2024,A89997380,I133252907,Beauty,2,153.10485
2024,A89997399,I133166178,Beauty,2,108.39196
2024,A89997399,I133221970,Beauty,3,187.12815
2024,A89997399,I133244304,Beauty,1,274.91309
2024,A89997399,I133249518,Beauty,2,144.34566
2024,A89997399,I133269401,Beauty,2,128.15443
2024,A89997412,I133077629,Beauty,2,84.86521
2024,A89997412,I133225570,Beauty,2,136.26211
2024,A89997452,I133164322,Beauty,2,162.20186
2024,A89997476,I133165399,Beauty,2,84.35848
2024,A89997483,I133077431,Beauty,1,57.16397
2024,A89997502,I133090724,Beauty,3,136.21385
2024,A89997502,I133134665,Beauty,3,165.41115
2024,A89997502,I133143313,Beauty,2,98.71583
2024,A89997512,I133146171,Beauty,1,59.23915
2024,A8996661,I133254026,Beauty,1,61.24194
2024,A89997555,I133212436,Beauty,1,235.36402
2024,A89997572,I133077802,Beauty,1,57.16397
2024,A89997621,I133194066,Beauty,1,72.99325
2024,A89997621,I133214416,Beauty,1,591.37804
2024,A89997636,I133210720,Beauty,7,462.5721
2024,A89997636,I133229658,Beauty,2,75.16495
2024,A89997636,I133275697,Beauty,2,114.71402
2024,A89997657,I133095941,Beauty,2,139.18184
2024,A89997657,I133161158,Beauty,2,108.56087
2024,A89997677,I133163592,Beauty,1,49.24933
2024,A89997679,I133164589,Beauty,1,49.24933
2024,A89997700,I133077710,Beauty,1,39.52494
2024,A89997726,I133233753,Beauty,1,71.01459
2024,A89997800,I133084961,Beauty,1,47.46371
2024,A89997867,I133254010,Beauty,3,226.60483
2024,A89997874,I133076417,Beauty,1,59.31154
2024,A89997874,I133080108,Beauty,3,217.26652
2024,A8996697,I133124127,Beauty,1,188.28639
2024,A89997882,I133147674,Beauty,3,162.29838
2024,A89997883,I133132155,Beauty,2,282.82773
2024,A89997883,I133241249,Beauty,1,65.58534
2024,A89997939,I133076403,Beauty,2,96.30283
2024,A89997939,I133142209,Beauty,5,269.60449
2024,A89997939,I133253781,Beauty,1,76.56449
2024,A89997984,I133088187,Beauty,3,136.06907
2024,A89997984,I133143052,Beauty,1,47.46371
2024,A89997984,I133161927,Beauty,2,147.14474
2024,A89997984,I133203413,Beauty,1,39.52494
2024,A89997988,I133166172,Beauty,1,49.24933
2024,A89997988,I133233262,Beauty,1,39.35603
2024,A89997989,I133156460,Beauty,4,278.87041
2024,A89997999,I133129906,Beauty,1,235.36402
2024,A89998002,I133193194,Beauty,2,167.10025
2024,A89998002,I133232528,Beauty,2,147.16887
2024,A8996710,I133132256,Beauty,1,188.28639
2024,A89998056,I133083793,Beauty,5,320.80835
2024,A89998071,I133251595,Beauty,1,77.86751
2024,A89998112,I133132229,Beauty,1,235.36402
2024,A89998124,I133214118,Beauty,1,789.17165
2024,A89998131,I133084774,Beauty,2,158.14802
2024,A89998146,I133251584,Beauty,3,219.02801
2024,A89998230,I133267309,Beauty,1,78.9051
2024,A89998245,I133163332,Beauty,2,114.95532
2024,A8996734,I133141476,Beauty,1,47.39132
2024,A8996734,I133204346,Beauty,1,40.34536
2024,A89998248,I133185144,Beauty,1,102.89032
2024,A89998250,I133247885,Beauty,1,274.91309
2024,A89998254,I133112851,Beauty,1,235.36402
2024,A89998254,I133169114,Beauty,2,108.56087
2024,A89998254,I133266132,Beauty,1,37.37737
2024,A89998256,I133268311,Beauty,1,78.9051
2024,A89998267,I133121608,Beauty,6,402.27123
2024,A89998276,I133242127,Beauty,1,69.63918
2024,A89998280,I133269416,Beauty,2,128.15443
2024,A89998292,I133168023,Beauty,1,49.24933
2024,A89998308,I133159809,Beauty,2,108.56087
2024,A89998317,I133210530,Beauty,2,122.31497
2024,A89998317,I133249751,Beauty,4,310.62549
2024,A89998317,I133264443,Beauty,1,101.99751
2024,A89998324,I133084047,Beauty,1,69.03593
2024,A89998326,I133144672,Beauty,4,240.86566
2024,A8996743,I133267143,Beauty,1,78.9051
2024,A89998371,I133146478,Beauty,2,118.45417
2024,A89998371,I133255082,Beauty,2,152.23617
2024,A89998372,I133090513,Beauty,1,97.89541
2024,A89998392,I133120765,Beauty,3,223.25076
2024,A89998392,I133134755,Beauty,2,69.20484
2024,A89998392,I133157343,Beauty,1,61.31433
2024,A89998392,I133206384,Beauty,2,88.77427
2024,A89998392,I133232870,Beauty,3,157.73781
2024,A89998392,I133247809,Beauty,2,162.49142
2024,A89998392,I133254125,Beauty,3,211.47532
2024,A8996751,I133252095,Beauty,1,61.24194
2024,A8996751,I133252107,Beauty,1,47.31893
2024,A8996754,I133158546,Beauty,1,77.86751
2024,A89998447,I133095306,Beauty,1,47.46371
2024,A89998457,I133275930,Beauty,1,69.03593
2024,A89998492,I133225291,Beauty,2,163.93922
2024,A89998565,I133133444,Beauty,1,235.36402
2024,A89998584,I133164772,Beauty,1,49.24933
2024,A89998598,I133080627,Beauty,3,232.95102
2024,A89998598,I133216549,Beauty,4,188.67247
2024,A89998598,I133223504,Beauty,2,123.85929
2024,A89998601,I133241711,Beauty,1,82.25917
2024,A89998601,I133241711,Electronics,2,352.0567
2024,A89998641,I133127389,Beauty,1,101.99751
2024,A8996776,I133252638,Beauty,1,61.24194
2024,A89998676,I133144166,Beauty,2,65.36817
2024,A89998703,I133124033,Beauty,1,65.07861
2024,A89998704,I133233419,Beauty,1,39.35603
2024,A89998707,I133248969,Beauty,2,153.10485
2024,A89998718,I133145703,Beauty,2,146.87931
2024,A89998754,I133183065,Beauty,1,150.25751
2024,A89998754,I133254690,Beauty,5,348.46133
2024,A89998754,I133254703,Beauty,2,144.34566
2024,A89998787,I133128336,Beauty,1,235.36402
2024,A89998787,I133241945,Beauty,1,65.58534
2024,A89998799,I133142139,Beauty,1,59.23915
2024,A89998811,I133165826,Beauty,1,49.24933
2024,A89998821,I133087739,Beauty,5,376.21083
2024,A89998827,I133238880,Beauty,5,329.95362
2024,A89998836,I133232273,Electronics,1,332.2701
2024,A89998848,I133110584,Beauty,1,65.70599
2024,A89998848,I133249162,Beauty,3,212.24748
2024,A8996803,I133185365,Beauty,1,22.15134
2024,A89998953,I133159248,Beauty,1,49.24933
2024,A89998961,I133127387,Beauty,1,235.36402
2024,A8996809,I133161319,Beauty,1,39.40429
2024,A89999007,I133266836,Beauty,1,78.9051
2024,A89999013,I133260927,Beauty,2,114.32794
2024,A89999019,I133272387,Beauty,2,126.17577
2024,A89999023,I133177068,Beauty,1,50.23866
2024,A89999023,I133250438,Beauty,2,131.94284
2024,A89999025,I133142094,Beauty,1,59.23915
2024,A89999028,I133228402,Beauty,1,98.6917
2024,A89999031,I133229541,Beauty,1,64.71666
2024,A89999041,I133085229,Beauty,2,106.60634
2024,A89999041,I133168792,Beauty,2,108.56087
2024,A89999079,I133163735,Electronics,1,89.01557
2024,A89999090,I133168605,Beauty,1,49.24933
2024,A89999128,I133126843,Beauty,1,49.41824
2024,A89999158,I133185387,Beauty,1,63.38951
2024,A89999185,I133228532,Beauty,1,51.42103
2024,A89999189,I133085490,Beauty,1,252.23089
2024,A89999201,I133147207,Beauty,6,251.98959
2024,A89999210,I133208536,Beauty,1,92.85224
2024,A89999210,I133262994,Beauty,1,108.585
2024,A8996831,I133078023,Beauty,2,77.33665
2024,A8996831,I133164116,Beauty,1,39.40429
2024,A8996831,I133407119,Electronics,1,204.71892
2024,A89999261,I133256345,Beauty,2,143.5735
2024,A89999274,I133155911,Beauty,2,108.56087
2024,A89999299,I133074987,Beauty,1,98.88474
2024,A89999318,I133186642,Beauty,2,131.38785
2024,A89999318,I133248585,Beauty,1,62.52083
2024,A89999338,I133242789,Beauty,1,82.25917
2024,A89999338,I133265684,Beauty,1,125.04166
2024,A89999370,I133224783,Beauty,1,78.9051
2024,A89999378,I133254358,Beauty,2,144.34566
2024,A89999378,I133271347,Beauty,6,311.30113
2024,A89999443,I133135159,Electronics,1,33.61309
2024,A89999490,I133222127,Beauty,4,209.71383
2024,A89999490,I133249079,Beauty,5,347.9546
2024,A89999501,I133145689,Beauty,2,168.69283
2024,A89999501,I133267115,Beauty,3,178.58613
2024,A89999527,I133266202,Beauty,1,78.9051
2024,A89999557,I133255451,Beauty,4,308.864
2024,A89999575,I133075867,Beauty,1,59.23915
2024,A89999592,I133141379,Beauty,2,146.87931
2024,A89999592,I133162275,Beauty,2,108.56087
2024,A89999592,I133199758,Beauty,1,54.63032
2024,A89999612,I133255237,Beauty,5,373.38762
2024,A89999621,I133256079,Beauty,1,76.56449
2024,A89999623,I133160145,Beauty,2,108.56087
2024,A89999633,I133250004,Beauty,3,195.01866
2024,A89999633,I133269670,Beauty,3,205.105
2024,A89999636,I133217780,Beauty,4,347.7133
2024,A89999646,I133132358,Beauty,1,235.36402
2024,A89999646,I133141458,Beauty,4,190.8683
2024,A89999653,I133160123,Beauty,3,161.96056
2024,A89999653,I133277640,Beauty,1,69.03593
2024,A89999676,I133137821,Beauty,3,108.80217
2024,A89999676,I133168633,Beauty,2,98.59518
2024,A89999676,I133246727,Beauty,2,173.736
2024,A89999699,I133162485,Beauty,2,108.39196
2024,A89999704,I133215905,Beauty,3,214.78113
2024,A89999716,I133146870,Beauty,1,87.64016
2024,A89999745,I133124016,Beauty,1,65.07861
